Jose Soto
Program 3

Key         List          Array
or          0.100 s    0.000 s
tabl        0.069 s    0.000 s
ip          0.059 s    0.000 s
rd          0.057 s    0.000 s
let         0.051 s    0.000 s
us          0.055 s    0.000 s
ilit        0.090 s    0.000 s
juga        0.050 s    0.000 s
qui         0.057 s    0.000 s
it          0.090 s    0.000 s
nal         0.056 s    0.000 s
epic        0.057 s    0.000 s
ens         0.057 s    0.000 s
tr          0.056 s    0.000 s
limp        0.049 s    0.000 s
iali        0.052 s    0.000 s
pro         0.050 s    0.000 s
un          0.053 s    0.000 s
uti         0.053 s    0.000 s
lood        0.052 s    0.000 s
al          0.056 s    0.000 s
tch         0.050 s    0.000 s
lo          0.065 s    0.000 s
ano         0.062 s    0.000 s
pi          0.050 s    0.000 s
oncol       0.047 s    0.000 s
ill         0.043 s    0.000 s
gat         0.048 s    0.000 s
rocl        0.055 s    0.000 s
ark         0.077 s    0.000 s
evolu       0.062 s    0.000 s
crac        0.054 s    0.000 s
sages       0.050 s    0.000 s
ethn        0.053 s    0.000 s
ley         0.053 s    0.000 s
enefi       0.055 s    0.000 s
in          0.057 s    0.000 s
ll          0.053 s    0.000 s
opica       0.053 s    0.000 s
bf          0.049 s    0.000 s
erk         0.052 s    0.000 s
da          0.045 s    0.000 s
ab          0.047 s    0.000 s
penn        0.050 s    0.000 s
elfi        0.058 s    0.000 s
isti        0.055 s    0.000 s
